state,theta,phi,acceleration,height
1,-8.02,7.06,217.2,6068.56
1,-0.36,-24.23,209.51,6071.88
1,8.59,10.62,237.83,6093.35
1,8.44,1.94,221.24,6125.69
1,21.15,-10.94,229.65,6153.02
1,1.28,3.83,254.26,6185.0
1,-3.91,-6.22,258.62,6217.85
1,-22.47,12.34,240.21,6249.81
1,-8.48,12.41,217.22,6269.27
1,-2.0,-0.6,217.75,6289.56
1,-12.5,1.63,194.51,6309.39
1,5.4,-13.19,195.88,6323.32
1,-6.08,9.67,208.05,6342.23
1,22.38,8.33,198.37,6361.84
1,-4.93,-8.49,181.85,6370.74
1,18.38,-1.6,225.43,6376.18
1,-12.61,-9.7,251.08,6398.16
1,0.49,-23.09,231.03,6435.55
1,-0.7,12.96,244.44,6482.41
1,0.41,-16.53,231.5,6497.41
1,13.94,-4.78,241.32,6526.56
1,-6.65,6.34,209.33,6552.27
1,5.27,-7.66,217.64,6568.67
1,9.32,8.61,201.53,6599.06
1,13.4,0.11,168.62,6617.56
1,-16.11,-7.18,167.96,6639.95
1,-8.53,-5.9,144.76,6635.94
1,10.11,7.65,131.61,6637.4
1,-14.17,17.07,121.58,6666.35
1,-21.67,-8.36,121.54,6684.03
1,-14.05,-3.81,137.44,6708.5
1,1.71,-4.06,120.39,6726.32
1,6.55,-6.57,148.49,6724.47
1,-3.72,0.24,165.66,6732.41
1,0.13,-17.57,159.66,6767.63
1,-1.05,2.81,153.89,6778.46
1,12.45,9.19,153.94,6798.04
1,-4.22,-11.21,146.09,6814.42
1,-12.06,-22.13,154.98,6819.54
1,-10.19,4.31,139.88,6840.07
1,-13.02,-8.33,143.9,6864.66
1,-4.76,-8.11,105.77,6866.07
1,22.06,-11.1,109.4,6867.57
1,-10.43,-4.78,100.56,6885.58
1,3.77,-6.4,120.85,6898.41
1,15.18,-12.0,102.0,6905.19
1,-22.95,-5.42,90.3,6912.89
1,-8.56,-3.52,96.84,6926.87
1,-3.49,21.05,92.37,6923.88
1,-18.38,1.58,89.11,6934.39
1,-20.0,-15.25,94.62,6937.16
1,3.97,-4.82,59.82,6936.32
1,0.98,-3.53,53.77,6944.46
1,-19.42,-0.4,68.2,6953.78
1,-7.08,-0.59,83.87,6954.43
1,0.04,-0.25,58.45,6959.95
1,4.71,18.42,93.42,6964.83
1,5.85,9.19,100.49,6981.94
1,-7.23,8.01,89.65,6996.24
1,-11.14,7.7,89.97,6994.48
1,-9.75,10.33,32.8,7007.93
1,2.84,8.4,26.45,7034.47
1,13.97,-0.06,39.7,7043.44
1,-4.2,-4.75,24.62,7045.82
1,-7.0,16.18,3.02,7038.58
1,-3.37,-3.39,-65.34,7034.02
2,10.06,11.4,594.13,7084.85
2,12.35,6.67,590.18,7145.93
2,-6.64,-8.18,572.74,7207.94
2,-10.12,1.33,537.6,7270.85
2,-2.3,-4.81,563.58,7322.98
2,6.38,10.03,554.18,7379.97
2,-0.9,-7.88,546.51,7429.18
2,-10.29,15.4,524.72,7482.78
2,5.23,-6.34,512.38,7515.68
2,4.16,-6.88,519.81,7573.64
2,2.18,-25.31,502.75,7625.94
2,7.51,-6.06,478.65,7703.16
2,-4.68,-5.87,480.67,7731.35
2,3.44,9.28,478.62,7786.99
2,4.24,-17.44,461.23,7831.89
2,0.88,-0.31,453.69,7867.14
2,17.03,-6.29,434.65,7929.51
2,-12.1,-1.14,442.85,7981.52
2,-3.76,-6.93,475.05,8026.71
2,-22.94,7.13,514.8,8098.35
2,-9.19,-9.75,511.12,8164.15
2,-0.64,-6.52,508.13,8212.78
2,-10.06,7.23,475.59,8269.25
2,-5.54,0.71,479.85,8314.44
2,25.45,5.99,505.33,8354.37
2,9.91,-11.94,492.82,8412.39
2,9.66,-7.78,490.86,8442.29
2,5.83,3.22,476.81,8496.49
2,-6.18,-9.96,509.82,8538.47
2,-6.05,4.72,509.17,8593.53
2,-17.78,-22.69,501.36,8650.92
2,-14.95,-26.48,487.43,8701.16
2,-19.29,-2.19,463.94,8738.91
2,4.17,-6.32,468.09,8783.81
2,2.21,-3.52,455.72,8826.2
2,-9.04,8.31,485.27,8871.04
2,4.02,5.51,489.0,8915.78
2,1.64,2.36,503.27,8956.24
2,-11.03,-11.69,511.4,9013.85
2,5.91,8.44,521.32,9056.02
2,19.17,-6.1,520.56,9101.77
2,-0.08,2.0,540.68,9153.66
2,-2.22,7.26,510.61,9204.4
2,2.0,10.44,532.23,9259.42
2,10.33,0.48,531.66,9308.86
2,-6.66,-8.41,555.11,9343.07
2,1.58,-8.44,566.51,9390.65
2,-16.33,6.17,538.72,9448.44
2,-23.13,5.25,531.47,9517.55
2,1.59,-5.08,528.5,9574.08
2,7.15,-11.9,535.17,9619.7
2,7.49,2.23,552.29,9682.56
2,10.83,-11.75,525.31,9760.86
2,-23.27,-12.32,507.97,9807.38
2,-12.56,-5.38,498.92,9856.09
2,10.29,9.94,482.65,9903.11
2,-13.62,3.02,508.47,9949.82
2,-18.03,2.96,505.54,10006.12
2,3.09,5.31,477.86,10060.07
2,-18.34,10.43,462.32,10094.64
2,3.44,14.74,466.06,10145.71
2,-9.21,8.91,464.07,10178.91
2,7.98,-7.18,496.57,10231.78
2,-10.31,-5.48,505.51,10279.85
2,13.61,6.28,506.62,10342.19
2,0.72,12.61,508.39,10404.95
2,11.08,0.71,526.8,10459.62
2,-0.76,-0.14,533.66,10528.27
2,-10.28,2.38,539.25,10575.42
2,-3.3,1.35,537.51,10644.67
2,-0.38,-1.35,532.18,10706.21
2,-10.77,-5.94,516.4,10750.19
2,-9.35,5.77,523.17,10790.71
2,-8.37,0.86,510.3,10847.54
2,19.22,-10.88,508.07,10880.69
2,6.67,14.48,463.34,10920.1
2,18.84,26.77,478.08,10954.15
2,-22.14,-7.06,499.14,11010.01
2,-6.98,10.24,508.53,11058.54
2,-2.73,2.21,506.22,11109.45
2,6.44,-7.04,505.57,11180.82
2,-8.08,-12.09,471.35,11218.76
2,-13.89,-4.14,445.1,11282.81
2,-24.5,-4.24,435.66,11321.07
2,-16.7,-5.92,448.37,11370.93
2,-2.76,3.88,428.67,11416.43
2,8.5,-26.98,392.67,11448.18
2,-2.95,2.56,375.91,11476.46
2,-4.24,-2.21,366.99,11508.02
2,-6.76,5.8,360.5,11526.14
2,7.12,-11.97,336.29,11561.6
2,-9.03,-0.95,348.37,11592.62
2,8.82,5.91,348.13,11620.75
2,-18.35,6.28,306.33,11654.22
2,2.19,12.95,299.36,11671.7
2,-0.92,1.36,311.89,11695.62
2,1.42,-5.77,298.05,11705.1
2,-9.42,-5.54,319.2,11728.57
2,-16.57,3.49,329.85,11755.88
2,4.68,-14.93,302.99,11787.92
2,10.01,-1.67,345.05,11812.3
2,13.07,2.92,341.6,11845.37
2,16.73,-8.29,336.72,11891.1
2,-3.25,13.14,301.49,11912.48
2,-1.59,8.74,276.25,11929.92
2,-7.7,-12.14,269.13,11960.73
2,-8.74,15.68,277.16,11984.84
2,-1.22,4.23,257.28,12004.52
2,-15.89,-28.27,243.17,12040.03
2,-10.69,18.63,236.44,12056.94
2,11.07,5.04,243.95,12085.35
2,-3.26,-5.02,253.41,12122.38
2,-2.07,-1.0,269.81,12171.19
2,-2.74,5.34,281.16,12183.91
2,-5.86,-8.78,286.59,12201.68
2,-2.61,11.36,300.9,12234.75
2,-3.91,9.44,323.27,12255.27
2,-1.98,1.51,335.56,12294.76
2,7.98,5.8,345.7,12326.04
2,-8.34,2.56,357.94,12363.23
2,13.62,-3.51,349.98,12398.45
2,13.95,-11.33,314.74,12453.96
2,-23.93,-17.72,317.75,12494.76
2,-2.22,-9.08,321.13,12512.76
2,-22.76,16.64,302.02,12546.82
2,-8.02,9.85,323.62,12590.7
2,-8.02,3.53,318.48,12636.05
2,1.21,-5.97,337.16,12656.2
2,0.01,-4.58,304.78,12681.83
2,11.26,9.69,336.86,12715.81
2,-3.14,-9.69,301.4,12763.82
2,22.78,-3.57,296.29,12777.38
2,6.53,-7.71,298.66,12815.84
2,-6.99,-1.45,347.24,12859.85
2,-7.75,5.48,337.66,12883.13
2,-1.46,5.75,327.4,12928.61
2,8.82,-6.62,278.21,12961.58
2,-24.12,-13.7,287.07,12987.81
2,-7.0,-0.23,253.09,13020.85
2,11.05,13.27,257.27,13058.68
2,9.23,-15.06,262.27,13083.35
2,2.81,7.46,287.52,13111.87
2,8.22,7.51,295.72,13117.91
2,14.26,-1.16,293.06,13131.94
2,-8.42,-24.21,321.35,13158.52
2,-1.88,14.52,334.04,13190.43
2,-5.19,5.84,308.18,13222.23
2,1.75,2.03,336.12,13256.64
2,-15.8,-6.39,391.02,13294.0
2,4.1,-8.84,385.98,13331.37
2,-0.44,-20.31,388.13,13365.61
2,-11.26,-15.99,368.27,13405.17
2,-5.61,16.69,373.76,13448.68
2,-7.59,-11.26,375.75,13476.09
2,-8.08,3.12,353.08,13518.02
2,13.08,-2.58,361.27,13568.7
2,10.26,-5.08,322.66,13606.98
2,-7.88,-15.78,318.96,13653.8
2,-8.64,22.65,328.74,13671.99
2,9.62,14.51,354.68,13712.56
2,2.33,4.03,377.07,13748.34
2,-8.46,-3.12,375.85,13784.26
2,-9.94,8.37,352.55,13845.77
2,12.41,1.64,345.84,13876.48
2,-8.29,17.66,358.74,13899.38
2,10.01,-12.48,332.85,13934.86
2,-10.19,9.2,340.78,13976.53
2,7.3,-0.82,344.48,14015.21
2,4.05,-4.99,336.25,14039.24
2,-10.1,-2.73,322.86,14074.41
2,-28.51,-16.21,296.31,14106.22
2,-11.24,-4.81,300.42,14128.06
2,8.14,-5.08,298.01,14161.21
2,7.37,-30.25,293.61,14182.32
2,-3.96,-5.42,312.09,14198.8
2,-0.83,-8.49,325.43,14243.17
2,-3.81,-2.43,337.12,14268.13
2,3.3,-10.94,316.99,14306.5
2,0.96,-3.49,302.48,14329.95
2,-6.77,-1.84,269.39,14368.46
2,0.17,-0.24,284.01,14382.95
2,0.09,21.18,294.43,14412.22
2,7.51,-13.66,292.98,14422.32
2,-6.46,-7.4,281.36,14439.8
2,1.26,-3.86,250.55,14465.57
2,0.97,-3.16,289.98,14508.64
2,-17.79,-13.99,322.48,14543.38
2,1.99,-7.65,333.62,14568.01
2,-3.15,-12.4,326.21,14612.21
2,15.48,1.45,314.73,14638.68
2,-26.43,4.57,313.59,14680.97
2,7.55,-10.69,301.66,14724.74
2,7.35,-3.53,330.48,14744.96
2,9.26,4.69,324.98,14785.39
2,3.71,5.62,323.67,14810.29
2,5.07,1.82,314.0,14850.44
2,-10.24,5.71,321.97,14885.96
2,7.02,19.13,301.98,14924.97
2,6.1,-10.27,301.68,14953.83
2,-1.57,11.64,321.25,14976.79
2,-5.02,8.49,293.45,15000.51
2,-0.59,5.18,272.22,15026.6
2,-11.77,5.65,261.28,15039.96
2,3.96,0.87,246.6,15070.06
2,4.06,7.98,260.47,15084.1
2,-18.87,-11.34,262.37,15114.2
2,-14.94,11.3,234.46,15140.95
2,-6.53,-7.4,229.05,15154.42
2,-1.21,-7.24,224.81,15176.9
2,12.09,-2.92,251.32,15179.0
2,12.22,2.6,234.02,15210.1
2,25.06,10.79,234.85,15232.77
2,2.81,-0.01,206.84,15258.18
2,-7.19,0.95,234.94,15284.56
2,-13.95,-16.31,265.65,15312.53
2,4.53,0.41,236.14,15324.71
2,6.29,-16.06,246.6,15346.11
2,-2.08,5.85,214.51,15361.97
2,9.47,2.72,238.49,15390.24
2,4.84,-20.0,258.63,15433.37
2,13.06,0.29,260.36,15463.87
2,-7.2,0.64,253.79,15482.22
2,-5.36,12.77,258.69,15515.24
2,-11.46,5.5,268.01,15559.61
2,-13.13,-2.49,291.98,15602.93
2,-4.68,-15.39,328.49,15642.86
2,-22.67,7.31,336.14,15671.67
2,17.0,1.8,293.64,15718.12
2,-4.85,-9.04,317.97,15751.01
2,0.96,-7.16,304.92,15781.36
2,-13.27,-12.5,331.78,15806.7
2,12.6,10.95,325.49,15825.07
2,6.13,-18.16,320.8,15846.43
2,-8.25,-2.23,298.47,15868.36
2,-4.47,-11.4,292.7,15892.47
2,-9.26,-3.36,282.11,15919.39
2,4.99,-4.85,263.53,15953.0
2,-20.88,16.38,225.5,15991.36
2,-7.94,-6.45,181.13,16026.19
2,-5.11,4.62,178.79,16040.57
2,-9.19,-13.34,171.77,16049.03
2,0.28,-2.2,185.19,16062.11
2,-15.14,5.48,190.95,16103.78
2,-6.31,-5.5,182.86,16125.14
2,1.11,17.9,155.66,16136.22
2,1.14,7.81,183.29,16151.69
2,-4.09,11.31,104.42,16173.96
2,-2.62,13.95,107.15,16189.3
2,-6.12,1.28,137.81,16213.29
2,19.51,-1.01,138.59,16225.82
2,1.68,-16.41,123.73,16243.74
2,12.15,-4.36,94.05,16247.98
2,-21.09,11.81,126.71,16265.55
2,-2.24,1.31,93.29,16276.96
2,-12.38,-19.73,66.53,16281.57
2,5.45,-5.01,86.76,16299.11
2,5.97,12.99,84.24,16300.03
2,7.38,-11.16,86.41,16297.41
2,-6.11,2.79,100.85,16285.55
2,14.57,-17.12,122.55,16284.19
2,-12.74,1.92,126.29,16296.64
2,-2.86,-6.94,124.83,16306.93
2,6.84,12.93,100.13,16298.3
2,-10.88,16.22,114.24,16308.08
2,-15.93,-8.65,138.69,16318.85
2,-0.02,-10.95,131.88,16352.48
2,-2.64,-19.66,156.17,16362.11
2,16.5,-7.74,155.01,16387.11
2,-2.95,-10.17,144.28,16426.93
2,2.29,4.87,102.31,16442.17
2,19.4,-1.69,94.19,16441.9
2,12.26,-6.83,106.01,16441.77
2,-0.1,6.34,96.04,16454.54
2,-0.25,-8.52,72.91,16480.25
2,-4.27,-0.24,70.51,16481.92
2,-0.9,-17.46,119.33,16486.74
2,-6.56,-3.22,104.64,16484.3
2,-4.62,-7.83,88.57,16491.83
2,11.05,-21.29,118.82,16505.43
2,0.38,0.44,129.57,16531.76
2,10.71,-5.87,107.18,16546.05
2,9.81,-2.55,92.33,16583.85
2,-11.99,-0.21,138.64,16592.77
2,-14.06,2.01,141.64,16623.98
2,-10.0,-5.57,124.95,16639.94
2,-4.99,-9.6,115.15,16662.67
2,-13.98,-6.81,109.52,16667.51
2,-18.85,12.61,130.27,16674.42
2,-0.33,17.17,138.32,16677.71
2,-4.51,20.74,135.31,16688.11
2,11.92,7.34,125.16,16714.22
2,-0.08,-1.12,108.5,16730.04
2,-8.0,1.34,75.67,16730.59
2,11.28,-4.31,63.19,16742.06
2,8.81,2.82,54.42,16748.36
2,3.21,1.63,52.35,16745.63
2,6.22,-19.19,63.28,16750.08
2,-13.14,4.23,44.36,16742.32
2,-6.03,6.38,64.99,16761.93
2,-26.67,7.72,73.75,16765.6
2,2.38,10.22,48.35,16790.8
2,9.16,-2.49,23.54,16798.95
2,-5.53,-10.96,0.84,16800.92
2,-15.99,9.55,18.35,16804.37
2,7.2,-18.04,-5.32,16786.92
2,4.11,-23.52,16.03,16781.91
2,-4.61,-9.38,-19.62,16795.13
3,12.3,-16.67,-15.26,16795.0
3,-23.31,-6.31,-17.24,16807.2
3,-12.44,-11.5,-4.32,16806.46
3,-17.2,0.91,-10.52,16817.08
3,-4.54,8.08,1.49,16812.07
3,-14.12,1.49,-9.89,16797.56
3,-23.8,9.6,-0.28,16770.56
3,-32.21,31.91,-4.86,16763.78
3,17.09,37.05,-15.69,16751.56
3,-15.22,-11.08,-23.45,16740.51
3,9.15,19.41,-28.71,16730.67
3,-29.08,5.68,-23.3,16715.61
3,-17.88,-9.82,-13.36,16698.91
3,35.92,40.49,-23.25,16693.85
3,-3.73,-10.73,-15.85,16696.76
3,16.95,-13.29,-26.68,16690.26
3,36.22,27.84,-18.57,16667.46
3,-9.11,15.34,-22.49,16666.83
3,27.13,20.31,-2.9,16663.93
3,-20.71,-1.93,-1.2,16661.62
3,9.58,-34.09,-3.41,16626.2
3,-16.08,13.37,3.03,16614.83
3,-20.27,-0.4,1.5,16616.8
3,15.3,-1.99,4.11,16603.4
3,-21.03,-2.15,-6.83,16600.4
3,-17.22,6.61,-27.02,16594.61
3,-2.2,-5.01,-6.79,16589.9
3,-18.24,31.48,-13.51,16600.04
3,-5.11,19.93,-16.29,16598.06
3,-29.82,-1.69,-23.19,16597.34
3,-23.28,4.66,-24.06,16604.82
3,21.27,-12.77,-24.99,16598.98
3,-50.05,18.01,-36.05,16583.05
3,-36.59,-31.29,-42.19,16571.91
3,-18.18,-1.98,-41.62,16568.67
3,8.83,-38.93,-53.53,16579.64
3,-0.54,-15.07,-49.21,16587.43
3,-12.38,-9.17,-54.1,16602.29
3,-0.05,1.1,-59.2,16584.31
3,22.2,9.39,-55.39,16563.72
3,-13.5,-33.65,-53.62,16574.01
3,-22.51,33.67,-48.13,16564.55
3,26.32,31.18,-43.45,16576.23
3,2.54,7.82,-38.87,16570.68
3,17.96,-21.81,-41.71,16567.53
3,-30.73,0.23,-40.91,16573.23
3,-21.49,17.02,-50.07,16576.25
3,38.51,-19.26,-52.39,16560.74
3,-4.01,17.51,-40.12,16567.2
3,-8.82,-2.51,-45.94,16559.01
3,5.26,-26.5,-43.22,16554.84
3,12.99,-56.91,-48.25,16549.48
3,18.44,-29.59,-51.03,16555.21
3,7.69,13.52,-45.33,16545.58
3,-3.53,0.5,-47.28,16543.96
3,10.68,16.56,-41.3,16553.53
3,-3.34,-7.32,-42.77,16543.15
3,-21.52,36.57,-27.87,16542.11
3,-40.97,7.21,-31.08,16535.98
3,-26.47,7.97,-22.44,16545.15
3,10.18,-0.28,-33.61,16540.84
3,-38.17,-15.5,-24.52,16533.26
3,3.0,-9.93,-31.15,16542.14
3,4.19,21.14,-27.01,16533.85
3,3.42,-19.79,-17.86,16520.99
3,23.72,8.28,-16.95,16514.39
3,13.48,5.98,-17.52,16509.68
3,5.68,8.37,-32.51,16508.92
3,-32.49,-18.31,-28.07,16503.55
3,-5.96,-16.51,-55.73,16500.37
3,12.04,-48.88,-57.45,16490.56
3,9.47,-19.38,-63.5,16494.71
3,0.77,-3.34,-65.01,16482.24
3,-18.71,26.85,-76.34,16483.54
3,34.45,11.88,-67.93,16483.75
3,-13.97,-6.22,-70.95,16485.85
3,-15.5,0.08,-64.86,16487.73
3,-7.37,-0.81,-72.85,16478.0
3,8.53,7.82,-92.55,16487.32
3,-23.96,-13.74,-100.53,16499.38
3,8.95,5.28,-96.71,16487.68
3,-9.94,4.73,-88.35,16498.41
3,2.2,-25.45,-96.51,16493.95
3,-18.49,-11.37,-93.68,16483.82
3,-31.92,-35.8,-97.81,16492.09
3,32.97,16.18,-100.3,16483.0
3,14.1,12.68,-99.09,16497.34
3,33.09,-9.86,-87.64,16498.08
3,-31.66,-15.36,-105.08,16495.12
3,-34.54,-21.21,-92.88,16493.29
3,-12.25,-2.59,-86.01,16481.41
3,9.63,9.74,-79.74,16489.46
3,3.36,1.98,-62.58,16491.14
3,-0.08,-24.3,-59.05,16491.72
3,19.77,11.54,-44.87,16480.07
3,12.54,21.45,-46.86,16479.94
3,-19.73,4.54,-8.43,16475.74
3,12.73,40.17,-20.54,16479.7
3,-16.55,6.71,-13.69,16473.49
3,-11.83,-12.71,-14.74,16461.73
3,36.43,39.16,-12.41,16476.92
3,-6.84,-43.34,-19.81,16492.16
3,-7.21,-0.48,-5.1,16488.42
3,-10.8,7.37,-18.82,16489.7
3,12.65,11.85,-10.22,16490.29
3,8.32,7.49,-1.97,16474.28
3,-11.57,18.44,14.21,16486.91
3,17.05,-34.21,3.74,16477.65
3,-16.82,-20.04,4.98,16467.29
3,-10.96,9.84,11.68,16453.95
3,-2.52,-13.68,26.63,16446.15
3,-0.98,6.21,47.53,16437.89
3,4.38,-10.89,58.24,16410.83
3,-7.3,7.87,57.8,16418.43
3,13.34,42.83,51.36,16403.39
3,22.81,-8.33,40.37,16400.25
3,30.91,14.46,51.01,16391.54
3,18.49,33.72,39.37,16400.05
3,-5.47,-22.46,40.34,16387.52
3,28.34,5.52,34.36,16385.92
3,-11.06,-11.55,25.69,16375.21
3,-6.38,-37.23,19.23,16368.45
3,0.35,-24.0,16.95,16371.92
3,11.62,11.17,9.92,16382.99
3,7.78,20.34,8.99,16383.44
3,31.95,30.4,19.17,16381.1
3,18.36,-60.42,16.85,16388.6
3,-8.2,-12.4,17.92,16386.75
3,10.83,13.73,21.2,16381.42
3,0.23,7.26,31.79,16383.28
3,-7.02,-13.29,25.57,16371.24
3,19.48,-40.4,16.46,16363.8
3,9.78,-1.16,25.37,16339.1
3,17.29,24.37,27.03,16348.76
3,-33.48,19.48,23.74,16362.87
3,6.19,-12.73,28.51,16364.61
3,-6.89,-36.5,47.15,16345.76
3,-19.61,-5.5,53.82,16327.03
3,-2.67,0.35,44.8,16315.02
3,-23.12,10.29,37.05,16309.06
3,15.74,-20.24,54.35,16309.44
3,18.57,5.84,45.57,16308.57
3,22.82,-42.2,49.87,16295.56
3,14.19,-30.98,42.1,16282.3
3,-25.66,-11.67,39.93,16270.22
3,0.11,-23.71,31.91,16261.96
3,-11.31,20.93,26.45,16245.52
3,-33.86,-21.33,28.87,16262.63
3,0.77,-18.5,41.64,16261.36
3,-5.38,42.34,42.27,16267.27
3,-5.05,-10.03,29.16,16274.06
3,9.56,-9.77,19.94,16263.65
3,9.99,-0.24,18.66,16267.49
3,7.76,-14.94,16.94,16254.71
3,19.35,16.18,16.88,16236.7
3,-0.66,-10.48,1.61,16237.54
3,2.9,-20.76,9.26,16241.28
3,-12.96,-8.61,5.68,16244.64
3,6.04,6.75,0.77,16244.67
3,53.5,6.11,17.17,16234.14
3,26.96,24.03,3.52,16220.98
3,11.6,-15.51,9.69,16232.94
3,-23.71,15.6,4.82,16256.61
3,-3.84,0.3,11.17,16257.5
3,3.6,-26.2,3.09,16255.19
3,-1.42,-33.06,7.66,16255.99
3,-18.14,7.58,2.25,16244.4
3,21.19,-13.55,-11.32,16234.2
3,2.25,17.84,-30.7,16207.05
3,-18.57,13.87,-43.34,16210.43
3,-14.17,-5.1,-56.38,16215.23
3,-29.79,1.23,-66.57,16204.18
3,-0.8,8.42,-67.74,16222.9
3,-9.18,1.58,-60.05,16215.96
3,11.37,23.5,-52.52,16211.41
